ID2,ID1,type,total_shared,shared_unique,shared_unique_nouncl,spatial_dist,gen_dist_masked,linguistic_distance,koile_patristic,glotto_nodes
Batwa (West),Babongo,subsistence,0,0,0,731.864055,NA,0.723501,6737.577153,50
Batwa (West),Baka,subsistence,1,1,1,636.670676,NA,0.8943835,9869.964,79
Batwa (West),Bakola,subsistence,0,0,0,1048.075645,NA,0.8246972,8253.094513,60
Batwa (West),Bakoya,subsistence,0,0,0,502.7049778,NA,0.7789598,8253.094509,60
Batwa (West),Batwa (East),subsistence,0,0,0,1206.911089,NA,0.7335445,7114.102197,60
Bedzan,Aka,subsistence,0,0,0,681.5444651,0.01183003,0.8163812,9869.964,64
Bedzan,Babongo,subsistence,0,0,0,877.3277792,0.02263618,0.8173099,9869.964,67
Bedzan,Baka,subsistence,0,0,0,497.7609491,0.02532532,0.8523494,9869.964,79
Bedzan,Bakola,subsistence,0,0,0,344.3782164,0.01680603,0.7990915,9869.964,64
Bedzan,Bakoya,subsistence,0,0,0,671.4024573,0.01676864,0.8145678,9869.964,64
Bedzan,Batwa (East),subsistence,0,0,0,2196.559598,0.04614687,0.8402524,9869.964,64
Bedzan,Batwa (West),subsistence,0,0,0,1128.27275,NA,0.829417,9869.964,64
Efe,Aka,subsistence,0,0,0,1395.529186,0.01472217,0.8375558,9869.964,87
Efe,Babongo,subsistence,0,0,0,1973.519556,0.01895501,0.85333445,9869.964,87
Efe,Baka,subsistence,0,0,0,1687.854796,0.02994044,0.8999159,9869.964,87
Efe,Bakola,subsistence,0,0,0,2132.588894,0.02244534,0.8921852,9869.964,87
Efe,Bakoya,subsistence,0,0,0,1653.449517,0.02082026,0.8876192,9869.964,87
Efe,Batwa (East),subsistence,0,0,0,465.5803186,0.01346262,0.8498302,9869.964,87
Efe,Batwa (West),subsistence,0,0,0,1249.062123,NA,0.893712,9869.964,87
Efe,Bedzan,subsistence,0,0,0,2041.976804,0.02912993,0.8846317,9869.964,87
Sua,Aka,subsistence,2,1,1,1293.088704,0.01472217,0.7533053,8253.094509,10
Sua,Babongo,subsistence,0,0,0,1865.928885,0.01895501,0.764265425,6737.577153,50
Sua,Baka,subsistence,0,0,0,1583.46273,0.02994044,0.7929572,9869.964,79
Sua,Bakola,subsistence,0,0,0,2028.971335,0.02244534,0.8231725,8253.094513,60
Sua,Bakoya,subsistence,1,0,0,1546.745877,0.02082026,0.7558964,8253.094509,60
Sua,Batwa (East),subsistence,0,0,0,457.3567922,0.01346262,0.8231725,7114.102197,60
Sua,Batwa (West),subsistence,0,0,0,1141.872415,NA,0.7343432,5897.485473,16
Sua,Bedzan,subsistence,0,0,0,1944.608227,0.02912993,0.8652951,9869.964,64
Sua,Efe,subsistence,1,0,0,107.6081628,0,0.8454989,9869.964,87
