"","Baka","Bakoya","Bakola","Efe","Sua","Batwa","Aka","Bedzan","Babongo","means"
"Dist_1_2",534018.499797442,374875.983308939,447040.890960258,7126.57561995055,102448.974192082,828901.882293067,503772.321887574,510739.112252944,651896.004961472,440091.138363748
"Dist_1_3",130874.862070214,246103.966226314,113291.490095754,56011.1805167543,36229.5182357269,38335.1762190496,176431.03840606,241900.335933386,286660.287008543,147315.3171902
"Dist_1_4",76892.2388474716,260059.249469434,486085.493354551,96778.5690742335,269617.853828863,312441.988994004,266970.949356792,270569.353156679,161618.684974855,244559.375672987
"Dist_2_3",552105.576050093,282696.842906525,371760.652303105,63132.6540733632,69323.3160883359,792474.555850011,401848.796996166,356262.073272576,599646.144600689,387694.512460096
"Dist_2_4",457270.174207025,350690.001794781,290239.86172003,103836.023046235,303788.444459676,729909.031507118,290022.336372897,549423.587035107,654325.537214347,414389.444150802
"Dist_3_4",156672.498704771,68139.1749062703,373805.327529188,42966.8978658575,288855.71335109,307228.321317738,271977.978208456,448848.991658029,434721.471156016,265912.930521935
