Trait,Culture,Basket::carrymode,Basket::size(cm),Basket::base,Basket::shape,Basket::hanginglace,Basket::handle,Basket::techniqueaddon,Basket::augmentingsticks,Basket::rim,Basket::holes
MBE-DRC-06,Mbendjele,hold,50,flat,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-07,Mbendjele,NA,40,flat,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-15,Mbendjele,wear,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-16,Mbendjele,NA,NA,bowl,cylindrical,0,0,horizontalrhombus,0,rim,0
MBE-DRC-17,Mbendjele,NA,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-17,Mbendjele,NA,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-18,Mbendjele,NA,NA,NA,NA,1,0,horizontalrhombus,0,rim,0
MBE-DRC-20,Mbendjele,wear,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-21,Mbendjele,wear,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-21,Mbendjele,wear,50,bowl,cylindrical,1,0,horizontalrhombus,0,rim,0
MBE-DRC-25,Mbendjele,NA,50,flat,cylindrical,0,0,horizontalrhombus,0,rim,0
SUA-DRC-03,Sua,NA,50,flat,cylindrical,0,0,horizontalbands,0,rim,0
SUA-DRC-11,Sua,NA,30,flat,bucket,1,0,0,0,rim,large
SUA-DRC-12,Sua,NA,30,flat,conical,1,0,0,0,rim,0
SUA-DRC-12,Sua,NA,30,flat,conical,0,0,0,0,rim,0
SUA-DRC-14,Sua,NA,20,flat,cylindrical,0,0,0,0,rim,0
SUA-DRC-15,Sua,NA,40,flat,cylindrical,NA,0,verticalsticks,0,rim,large
SUA-DRC-15,Sua,NA,NA,flat,bucket,1,0,0,0,rim,medium
SUA-DRC-16,Sua,NA,40,flat,NA,NA,0,0,0,rim,large
SUA-DRC-17,Sua,head,60,flat,conical,1,0,0,0,rim,small
BAK-CAM-96,Baka,head,30,flat,conical,1,0,0,0,rim,0
BAK-1,Baka,head,30,flat,conical,1,0,0,0,tuliprim,small
BAT_24,Batwa (West),NA,20,flat,bucket,0,0,0,0,rim,0
BAT_32,Batwa (West),wear,NA,NA,NA,NA,0,NA,1,rim,NA
BAT_33,Batwa (West),wear,100,flat,conical,0,0,0,0,quadruplerim,small
BAT_45,Batwa (West),hold,40,flat,square,0,0,0,0,0,0
BAT_49,Batwa (West),hold,50,flat,cuboidal,0,0,0,0,rim,0
BAT_50,Batwa (West),wear,60,NA,NA,NA,0,NA,0,NA,medium
BAT_51,Batwa (West),NA,40,flat,conical,0,1,0,0,rim,0
BAT_52,Batwa (West),hold,40,flat,conical,0,1,0,0,triplerim,0
BAT_52,Batwa (West),hold,40,flat,cylindrical,0,1,0,0,quadruplerim,0
BAT_53,Batwa (West),hold,40,flat,conical,0,1,0,0,triplerim,0
BAT_53,Batwa (West),hold,40,flat,cylindrical,0,1,0,0,quadruplerim,0
BAT_57,Batwa (West),hold,50,flat,cylindrical,0,0,0,0,rim,0
BAT_63,Batwa (West),NA,100,flat,cylindrical,1,1,0,0,rim,0
BAT_63,Batwa (West),NA,100,flat,cuboidal,0,0,0,0,rim,0
BAT-01,Batwa (West),wear,100,flat,conical,1,0,0,0,doublerim,0
BAT-01,Batwa (West),wear,60,flat,conical,1,0,0,0,doublerim,0
BAT-01,Batwa (West),wear,60,flat,conical,1,0,0,0,doublerim,0
BAT-01,Batwa (West),hold,30,flat,widecylynder/cylindrical,0,0,0,0,rim,0
BAT-01,Batwa (West),hold,50,flat,cuboidal,0,0,0,0,doublerim,0
BAT-01,Batwa (West),hold,50,flat,cuboidal,0,0,0,0,doublerim,0
BAT-01,Batwa (West),hold,50,flat,conical,0,0,0,0,doublerim,0
BAT-01,Batwa (West),hold,50,flat,conical,0,0,0,0,doublerim,0
BAT-03,Batwa (East),hold,40,flat,bowl,0,0,0,0,0,small
KAN_2,Sua,hold,35,flat,bowl,0,0,darkpatterns,0,0,0
TWA_25,Batwa (East),hold,30,bowl,bowl,0,0,0,0,0,0
TWA_26,Batwa (East),hold,30,bowl,bowl,0,0,0,0,0,0
TWA_27,Batwa (East),hold,30,bowl,bowl,0,0,0,0,0,0
TWA_94,Batwa (East),NA,40,flat,barrel,0,0,0,0,0,0
